Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,183,4,M:System.ServiceModel.Channels.Message.WriteMessage(System.Xml.XmlWriter),,,,,message.WriteMessage(xmlTextWriter);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,148,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"message = await ParsedMessage.FromStreamAsync(stream, readEncoding, MessageVersion, ct);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,100,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"if (MessageVersion.Equals(MessageVersion.None))  			{  				const string rss1MediaType = ""text/xml"";  				const string rss2MediaType = ""application/rss+xml"";  				const string atomMediaType = ""application/atom+xml"";  				const string htmlMediaType = ""text/html"";    				if (IsContentTypeSupported(contentType, rss1MediaType, rss1MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, rss2MediaType, rss2MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, htmlMediaType, atomMediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, atomMediaType, atomMediaType, checkCharset))  				{  					return true;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,100,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"if (MessageVersion.Equals(MessageVersion.None))  			{  				const string rss1MediaType = ""text/xml"";  				const string rss2MediaType = ""application/rss+xml"";  				const string atomMediaType = ""application/atom+xml"";  				const string htmlMediaType = ""text/html"";    				if (IsContentTypeSupported(contentType, rss1MediaType, rss1MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, rss2MediaType, rss2MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, htmlMediaType, atomMediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, atomMediaType, atomMediaType, checkCharset))  				{  					return true;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,100,3,P:System.ServiceModel.Channels.MessageVersion.None,,,,,"if (MessageVersion.Equals(MessageVersion.None))  			{  				const string rss1MediaType = ""text/xml"";  				const string rss2MediaType = ""application/rss+xml"";  				const string atomMediaType = ""application/atom+xml"";  				const string htmlMediaType = ""text/html"";    				if (IsContentTypeSupported(contentType, rss1MediaType, rss1MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, rss2MediaType, rss2MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, htmlMediaType, atomMediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, atomMediaType, atomMediaType, checkCharset))  				{  					return true;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,100,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"if (MessageVersion.Equals(MessageVersion.None))  			{  				const string rss1MediaType = ""text/xml"";  				const string rss2MediaType = ""application/rss+xml"";  				const string atomMediaType = ""application/atom+xml"";  				const string htmlMediaType = ""text/html"";    				if (IsContentTypeSupported(contentType, rss1MediaType, rss1MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, rss2MediaType, rss2MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, htmlMediaType, atomMediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, atomMediaType, atomMediaType, checkCharset))  				{  					return true;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,100,3,M:System.ServiceModel.Channels.MessageVersion.Equals(System.Object),,,,,"if (MessageVersion.Equals(MessageVersion.None))  			{  				const string rss1MediaType = ""text/xml"";  				const string rss2MediaType = ""application/rss+xml"";  				const string atomMediaType = ""application/atom+xml"";  				const string htmlMediaType = ""text/html"";    				if (IsContentTypeSupported(contentType, rss1MediaType, rss1MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, rss2MediaType, rss2MediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, htmlMediaType, atomMediaType, checkCharset))  				{  					return true;  				}    				if (IsContentTypeSupported(contentType, atomMediaType, atomMediaType, checkCharset))  				{  					return true;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,84,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"return $""{MessageVersion.ToString()},{BindingName},{PortName}"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,84,3,M:System.ServiceModel.Channels.MessageVersion.ToString,,,,,"return $""{MessageVersion.ToString()},{BindingName},{PortName}"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,79,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"return $""{MessageVersion.ToString()},{BindingName},{PortName}"".GetHashCode();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,79,3,M:System.ServiceModel.Channels.MessageVersion.ToString,,,,,"return $""{MessageVersion.ToString()},{BindingName},{PortName}"".GetHashCode();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,69,41,T:System.ServiceModel.Channels.MessageVersion,,,,,get;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,69,2,T:System.ServiceModel.Channels.MessageVersion,,,,,public MessageVersion MessageVersion
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,33,2,T:System.ServiceModel.Channels.MessageVersion,,,,,"public SoapMessageEncoder(MessageVersion version, Encoding writeEncoding, bool overwriteResponseContentType, XmlDictionaryReaderQuotas quotas, bool omitXmlDeclaration, bool checkXmlCharacters, XmlNamespaceManager xmlNamespaceOverrides, string bindingName, string portName, bool normalizeNewLines, int maxSoapHeaderSize = SoapMessageEncoderDefaults.MaxSoapHeaderSizeDefault)  		{  			_omitXmlDeclaration = omitXmlDeclaration;  			_checkXmlCharacters = checkXmlCharacters;  			BindingName = bindingName;  			PortName = portName;    			_writeEncoding = writeEncoding;  			_optimizeWriteForUtf8 = IsUtf8Encoding(writeEncoding);    			_overwriteResponseContentType = overwriteResponseContentType;    			_normalizeNewLines = normalizeNewLines;    			MessageVersion = version ?? throw new ArgumentNullException(nameof(version));    			ReaderQuotas = new XmlDictionaryReaderQuotas();  			(quotas ?? XmlDictionaryReaderQuotas.Max).CopyTo(ReaderQuotas);  			MaxSoapHeaderSize = maxSoapHeaderSize;    			MediaType = GetMediaType(version);  			CharSet = SoapMessageEncoderDefaults.EncodingToCharSet(writeEncoding);  			ContentType = GetContentType(MediaType, CharSet);    			XmlNamespaceOverrides = xmlNamespaceOverrides;  		}"
